team,region,seed,wins,losses,win_pct,net_rank,rank_strength,seed_strength,power_score,elo
Wright State,Midwest,14,21,11,0.65625,127,0.5785953177257526,0.1333333333333333,57.677919453734674,1441.6283838754907
Tennessee State,Midwest,15,20,9,0.6896551724137931,172,0.4280936454849499,0.06666666666666665,53.580978741398546,1425.2406210261463
Penn,South,14,17,11,0.6071428571428571,139,0.5384615384615384,0.1333333333333333,53.572344322344314,1425.2060833499295
UMBC,Midwest,16,22,8,0.7333333333333333,196,0.34782608695652173,0.0,52.50724637681159,1420.9456915677986
Siena,East,16,23,11,0.6764705882352942,183,0.3913043478260869,0.0,50.90153452685422,1414.522844167969
Long Island,West,16,24,10,0.7058823529411765,198,0.3411371237458194,0.0,50.76332874286839,1413.9700210320257
Kennesaw State,West,14,18,13,0.5806451612903226,155,0.48494983277591974,0.1333333333333333,50.24206135145827,1411.8849514663852
Idaho,South,15,18,14,0.5625,145,0.5183946488294314,0.06666666666666665,49.747979375696765,1409.9086235633392
Furman,East,15,19,12,0.6129032258064516,186,0.3812709030100334,0.06666666666666665,47.720825691372674,1401.8000088260428
Howard,Midwest,16,19,10,0.6551724137931034,203,0.32441471571906355,0.0,47.38899780878791,1400.4726972957037
Queens,West,15,20,13,0.6060606060606061,189,0.3712374581939799,0.06666666666666665,46.9933110367893,1398.8899502077093
Lehigh,South,16,16,16,0.5,275,0.08361204013377932,0.0,30.42642140468228,1332.6223916792812
Prairie View A&M,South,16,14,17,0.45161290322580644,300,0.0,0.0,24.838709677419356,1310.2715447702296
