season,team1,team2,team1_team,team1_region,team1_seed,team1_wins,team1_losses,team1_win_pct,team1_net_rank,team1_rank_strength,team1_seed_strength,team1_power_score,team1_elo,team2_team,team2_region,team2_seed,team2_wins,team2_losses,team2_win_pct,team2_net_rank,team2_rank_strength,team2_seed_strength,team2_power_score,team2_elo,elo_delta,power_delta,win_pct_delta,rank_delta,seed_delta,team1_win
2008,BYU,Texas A&M,BYU,,8,5.0,9.0,0.35714285714285715,25,0.920265780730897,0.5333333333333333,57.18549280177187,1508.034110962363,Texas A&M,,9,9.0,9.0,0.5,41,0.867109634551495,0.4666666666666667,62.51550387596899,1529.3541552591514,-21.32004429678841,-5.330011074197117,-0.14285714285714285,16,1,0
2008,Butler,South Alabama,Butler,,7,17.0,9.0,0.6538461538461539,17,0.946843853820598,0.6,75.1010733452594,1579.696433136313,South Alabama,,10,0.0,1.0,0.0,38,0.8770764119601329,0.4,34.69767441860465,1418.082837429694,161.61359570661898,40.403398926654745,0.6538461538461539,21,3,1
2008,Clemson,Villanova,Clemson,,5,5.0,8.0,0.38461538461538464,19,0.9401993355481728,0.7333333333333334,61.394156231365535,1524.8687646807375,Villanova,,12,29.0,11.0,0.725,51,0.8338870431893688,0.2666666666666667,71.72771317829456,1566.2029924684537,-41.334227787716145,-10.33355694692903,-0.34038461538461534,32,7,0
2008,Connecticut,San Diego,Connecticut,,4,30.0,7.0,0.8108108108108109,18,0.9435215946843853,0.8,85.61785040854808,1621.7635413894677,San Diego,,13,1.0,1.0,0.5,94,0.6910299003322259,0.19999999999999996,53.68604651162791,1494.0363258017871,127.72721558768058,31.931803896920172,0.31081081081081086,76,9,0
2008,Drake,Western Kentucky,Drake,,5,1.0,5.0,0.16666666666666666,10,0.9700996677740864,0.7333333333333334,50.45348837209303,1481.1060932436476,Western Kentucky,,12,3.0,5.0,0.375,39,0.8737541528239203,0.2666666666666667,53.87306201550388,1494.784387817291,-13.67829457364337,-3.419573643410857,-0.20833333333333334,29,7,0
2008,Duke,Belmont,Duke,,2,41.0,14.0,0.7454545454545455,7,0.9800664451827242,0.9333333333333333,84.6356589147287,1617.8347754141903,Belmont,,15,0.0,6.0,0.0,79,0.7408637873754154,0.06666666666666665,26.596899224806204,1385.6797366545002,232.15503875969011,58.038759689922486,0.7454545454545455,72,13,1
2008,Georgetown,UMBC,Georgetown,,2,3.0,7.0,0.3,8,0.9767441860465116,0.9333333333333333,60.01937984496124,1519.3696591351204,UMBC,,15,1.0,2.0,0.3333333333333333,88,0.7109634551495017,0.06666666666666665,43.883720930232556,1454.8270234762058,64.5426356589146,16.135658914728687,-0.033333333333333326,80,13,1
2008,Gonzaga,Davidson,Gonzaga,,7,35.0,17.0,0.6730769230769231,30,0.9036544850498339,0.6,74.64713774597496,1577.8806907391754,Davidson,,10,3.0,6.0,0.3333333333333333,35,0.8870431893687708,0.4,53.37984496124031,1492.8115196002368,85.0691711389386,21.26729278473465,0.3397435897435898,5,3,0
2008,Indiana,Arkansas,Indiana,,8,7.0,7.0,0.5,22,0.9302325581395349,0.5333333333333333,65.39147286821706,1540.8580312281438,Arkansas,,9,13.0,8.0,0.6190476190476191,31,0.9003322259136213,0.4666666666666667,70.22591362126245,1560.1957942403253,-19.33776301218154,-4.834440753045385,-0.11904761904761907,9,1,0
2008,Kansas,Portland St.,Kansas,,1,41.0,15.0,0.7321428571428571,5,0.9867109634551495,1.0,84.80274086378738,1618.503103210425,Portland St.,,16,0.0,2.0,0.0,90,0.7043189368770764,0.0,24.65116279069767,1377.896790918066,240.606312292359,60.15157807308971,0.7321428571428571,85,15,1
2008,Louisville,Boise St.,Louisville,,3,22.0,10.0,0.6875,13,0.9601328903654485,0.8666666666666667,80.08381782945737,1599.627411073105,Boise St.,,14,0.0,3.0,0.0,87,0.7142857142857143,0.1333333333333333,26.333333333333332,1384.6254730886087,215.00193798449618,53.750484496124045,0.6875,74,11,1
2008,Marquette,Kentucky,Marquette,,6,12.0,12.0,0.5,20,0.9368770764119602,0.6666666666666667,66.95736434108528,1547.1215971196166,Kentucky,,11,34.0,13.0,0.723404255319149,57,0.813953488372093,0.33333333333333337,71.6089394689098,1565.7278976309146,-18.60630051129806,-4.651575127824515,-0.22340425531914898,37,5,1
