season,team,wins,losses,net_rank,seed,region
2017,Nevada,2.0,4.0,29,12,
2017,New Mexico St.,1.0,9.0,59,14,
2017,New Orleans,,,154,16,
2017,North Carolina,41.0,13.0,5,1,
2017,North Carolina Central,0.0,1.0,202,16,
2017,North Dakota,0.0,1.0,144,15,
2017,Northern Kentucky,0.0,3.0,87,15,
2017,Northwestern,3.0,3.0,51,8,
2017,Notre Dame,10.0,9.0,23,5,
2017,Oklahoma St.,2.0,7.0,40,10,
2017,Oregon,17.0,10.0,9,3,
2017,Princeton,2.0,3.0,47,12,
2017,Providence,3.0,6.0,56,11,
2017,Purdue,23.0,15.0,19,4,
2017,Rhode Island,2.0,2.0,31,11,
2017,SMU,0.0,2.0,13,6,
2017,Saint Mary's,6.0,10.0,17,7,
2017,Seton Hall,1.0,5.0,44,9,
2017,South Carolina,4.0,2.0,43,7,
2017,South Dakota St.,0.0,7.0,155,16,
2017,Texas Southern,0.0,5.0,105,16,
2017,Troy,0.0,2.0,147,15,
2017,UC Davis,0.0,1.0,166,16,
2017,UCLA,21.0,11.0,16,3,
2017,UNC Wilmington,0.0,3.0,27,12,
2017,USC,5.0,7.0,41,11,
2017,VCU,7.0,12.0,22,10,
2017,Vanderbilt,1.0,6.0,38,9,
2017,Vermont,0.0,7.0,46,13,
2017,Villanova,29.0,11.0,1,1,
2017,Virginia,13.0,8.0,18,5,
2017,Virginia Tech,2.0,5.0,48,9,
2017,Wake Forest,1.0,2.0,39,11,
2017,West Virginia,14.0,11.0,24,4,
2017,Wichita St.,9.0,7.0,32,10,
2017,Winthrop,0.0,3.0,70,13,
2017,Wisconsin,24.0,15.0,36,8,
2017,Xavier,18.0,11.0,37,11,
2018,Alabama,12.0,7.0,42,9,
2018,Arizona,21.0,13.0,13,4,
2018,Arizona St.,1.0,4.0,66,11,
2018,Arkansas,13.0,8.0,30,7,
2018,Auburn,11.0,6.0,15,4,
2018,Bucknell,0.0,4.0,80,14,
2018,Buffalo,2.0,4.0,26,13,
2018,Butler,17.0,9.0,41,10,
2018,Cal St. Fullerton,0.0,3.0,131,15,
2018,Cincinnati,6.0,9.0,7,2,
2018,Clemson,5.0,8.0,10,5,
2018,College of Charleston,0.0,3.0,56,13,
2018,Creighton,12.0,10.0,43,8,
2018,Davidson,3.0,6.0,59,12,
2018,Duke,41.0,14.0,6,2,
2018,Florida,25.0,10.0,46,6,
2018,Florida St.,11.0,8.0,54,9,
2018,Georgia St.,1.0,4.0,132,15,
2018,Gonzaga,35.0,17.0,21,4,
2018,Houston,19.0,8.0,17,6,
2018,Iona,0.0,7.0,108,15,
2018,Kansas,41.0,15.0,5,1,
2018,Kansas St.,12.0,10.0,52,9,
2018,Kentucky,34.0,13.0,18,5,
2018,LIU Brooklyn,0.0,2.0,232,16,
2018,Lipscomb,0.0,2.0,101,15,
2018,Loyola Chicago,6.0,3.0,22,11,
2018,Marshall,1.0,1.0,87,13,
2018,Miami FL,12.0,7.0,28,6,
2018,Michigan,26.0,12.0,11,3,
2018,Michigan St.,35.0,16.0,16,3,
2018,Missouri,5.0,9.0,44,8,
2018,Montana,0.0,6.0,76,14,
2018,Murray St.,4.0,5.0,47,12,
2018,Nevada,2.0,4.0,19,7,
2018,New Mexico St.,1.0,9.0,35,12,
2018,North Carolina,41.0,13.0,4,2,
2018,North Carolina Central,0.0,1.0,279,16,
2018,North Carolina St.,8.0,7.0,64,9,
2018,Ohio St.,15.0,11.0,20,5,
2018,Oklahoma,12.0,10.0,48,10,
2018,Penn,0.0,1.0,121,16,
2018,Providence,3.0,6.0,31,10,
2018,Purdue,23.0,15.0,9,2,
2018,Radford,0.0,2.0,128,16,
2018,Rhode Island,2.0,2.0,14,7,
2018,San Diego St.,13.0,11.0,63,11,
2018,Seton Hall,1.0,5.0,32,8,
2018,South Dakota St.,0.0,7.0,37,12,
2018,St. Bonaventure,0.0,3.0,24,11,
2018,Stephen F. Austin,2.0,5.0,104,14,
2018,Syracuse,21.0,10.0,45,11,
2018,TCU,2.0,4.0,25,6,
2018,Tennessee,19.0,12.0,8,3,
2018,Texas,11.0,13.0,50,10,
2018,Texas A&M,9.0,9.0,29,7,
2018,Texas Southern,0.0,5.0,222,16,
2018,Texas Tech,14.0,7.0,23,3,
2018,UCLA,21.0,11.0,36,11,
2018,UMBC,1.0,2.0,112,16,
2018,UNC Greensboro,0.0,2.0,65,13,
2018,Villanova,29.0,11.0,2,1,
2018,Virginia,13.0,8.0,1,1,
2018,Virginia Tech,2.0,5.0,62,8,
2018,West Virginia,14.0,11.0,27,5,
2018,Wichita St.,9.0,7.0,12,4,
2018,Wright St.,0.0,2.0,99,14,
2018,Xavier,18.0,11.0,3,1,
2019,Abilene Christian,1.0,2.0,154,15,
2019,Arizona St.,1.0,4.0,63,11,
2019,Auburn,11.0,6.0,18,5,
2019,Baylor,21.0,12.0,39,9,
2019,Belmont,0.0,6.0,47,11,
2019,Bradley,0.0,1.0,176,15,
2019,Buffalo,2.0,4.0,15,6,
2019,Cincinnati,6.0,9.0,25,7,
2019,Colgate,0.0,5.0,132,15,
2019,Duke,41.0,14.0,3,1,
2019,Fairleigh Dickinson,1.0,2.0,203,16,
2019,Florida,25.0,10.0,31,10,
2019,Florida St.,11.0,8.0,16,4,
2019,Gardner Webb,0.0,1.0,173,16,
2019,Georgia St.,1.0,4.0,121,14,
2019,Gonzaga,35.0,17.0,2,1,
2019,Houston,19.0,8.0,4,3,
2019,Iona,0.0,7.0,202,16,
2019,Iowa,4.0,6.0,43,10,
2019,Iowa St.,12.0,11.0,21,6,
2019,Kansas,41.0,15.0,20,4,
2019,Kansas St.,12.0,10.0,24,4,
2019,Kentucky,34.0,13.0,6,2,
2019,LSU,4.0,5.0,14,3,
2019,Liberty,1.0,3.0,58,12,
2019,Louisville,22.0,10.0,22,7,
2019,Marquette,12.0,12.0,28,5,
2019,Maryland,10.0,9.0,27,6,
2019,Michigan,26.0,12.0,9,2,
2019,Michigan St.,35.0,16.0,8,2,
2019,Minnesota,2.0,5.0,61,10,
2019,Mississippi,3.0,4.0,36,8,
2019,Mississippi St.,1.0,5.0,19,5,
2019,Montana,0.0,6.0,124,15,
2019,Murray St.,4.0,5.0,44,12,
2019,Nevada,2.0,4.0,23,7,
2019,New Mexico St.,1.0,9.0,40,12,
2019,North Carolina,41.0,13.0,7,1,
2019,North Carolina Central,0.0,1.0,302,16,
2019,North Dakota St.,1.0,4.0,222,16,
2019,Northeastern,0.0,2.0,78,13,
2019,Northern Kentucky,0.0,3.0,115,14,
2019,Ohio St.,15.0,11.0,55,11,
2019,Oklahoma,12.0,10.0,37,9,
2019,Old Dominion,1.0,3.0,100,14,
2019,Oregon,17.0,10.0,51,12,
2019,Prairie View A&M,,,205,16,
2019,Purdue,23.0,15.0,12,3,
2019,Saint Louis,3.0,4.0,103,13,
2019,Saint Mary's,6.0,10.0,32,11,
2019,Seton Hall,1.0,5.0,57,10,
2019,St. John's,1.0,3.0,73,11,
2019,Syracuse,21.0,10.0,42,8,
2019,Temple,2.0,7.0,56,11,
2019,Tennessee,19.0,12.0,5,2,
2019,Texas Tech,14.0,7.0,10,3,
2019,UC Irvine,1.0,2.0,68,13,
2019,UCF,1.0,1.0,30,9,
2019,Utah St.,1.0,8.0,29,8,
2019,VCU,7.0,12.0,34,8,
2019,Vermont,0.0,7.0,71,13,
2019,Villanova,29.0,11.0,26,6,
2019,Virginia,13.0,8.0,1,1,
2019,Virginia Tech,2.0,5.0,11,4,
2019,Washington,5.0,4.0,45,9,
2019,Wisconsin,24.0,15.0,17,5,
2019,Wofford,1.0,6.0,13,7,
2019,Yale,2.0,5.0,86,14,
2021,Abilene Christian,1.0,2.0,74,14,
2021,Alabama,12.0,7.0,7,2,
2021,Appalachian St.,,,210,16,
2021,Arkansas,13.0,8.0,14,3,
2021,BYU,5.0,9.0,20,6,
2021,Baylor,21.0,12.0,2,1,
2021,Clemson,5.0,8.0,41,7,
2021,Cleveland St.,1.0,2.0,160,15,
2021,Colgate,0.0,5.0,9,14,
2021,Colorado,3.0,6.0,15,5,
2021,Connecticut,30.0,7.0,30,7,
2021,Creighton,12.0,10.0,25,5,
2021,Drake,1.0,5.0,45,11,
2021,Drexel,0.0,1.0,135,16,
2021,Eastern Washington,0.0,2.0,113,14,
2021,Florida,25.0,10.0,31,7,
2021,Florida St.,11.0,8.0,24,4,
2021,Georgetown,3.0,7.0,64,12,
2021,Georgia Tech,1.0,2.0,33,9,
2021,Gonzaga,35.0,17.0,1,1,
2021,Grand Canyon,1.0,4.0,106,15,
2021,Hartford,0.0,1.0,161,16,
2021,Houston,19.0,8.0,5,2,
2021,Illinois,8.0,8.0,3,1,
2021,Iona,0.0,7.0,138,15,
2021,Iowa,4.0,6.0,6,2,
2021,Kansas,41.0,15.0,11,3,
2021,LSU,4.0,5.0,28,8,
2021,Liberty,1.0,3.0,86,13,
2021,Loyola Chicago,6.0,3.0,10,8,
2021,Maryland,10.0,9.0,35,10,
2021,Michigan,26.0,12.0,4,1,
2021,Michigan St.,35.0,16.0,70,11,
2021,Missouri,5.0,9.0,47,9,
2021,Morehead St.,1.0,4.0,122,14,
2021,Mount St. Mary's,0.0,3.0,158,16,
2021,Norfolk St.,1.0,4.0,169,16,
2021,North Carolina,41.0,13.0,32,8,
2021,North Texas,1.0,2.0,61,13,
2021,Ohio,4.0,3.0,87,13,
2021,Ohio St.,15.0,11.0,8,2,
2021,Oklahoma,12.0,10.0,37,8,
2021,Oklahoma St.,2.0,7.0,29,4,
2021,Oral Roberts,2.0,3.0,159,15,
2021,Oregon,17.0,10.0,34,7,
2021,Oregon St.,3.0,2.0,91,12,
2021,Purdue,23.0,15.0,22,4,
2021,Rutgers,1.0,1.0,38,10,
2021,San Diego St.,13.0,11.0,18,6,
2021,St. Bonaventure,0.0,3.0,27,9,
2021,Syracuse,21.0,10.0,40,11,
2021,Tennessee,19.0,12.0,13,5,
2021,Texas,11.0,13.0,21,3,
2021,Texas Southern,0.0,5.0,208,16,
2021,Texas Tech,14.0,7.0,17,6,
2021,UC Santa Barbara,0.0,4.0,54,12,
2021,UCLA,21.0,11.0,46,11,
2021,UNC Greensboro,0.0,2.0,84,13,
2021,USC,5.0,7.0,19,6,
2021,Utah St.,1.0,8.0,39,11,
2021,VCU,7.0,12.0,36,10,
2021,Villanova,29.0,11.0,16,5,
2021,Virginia,13.0,8.0,12,4,
2021,Virginia Tech,2.0,5.0,48,10,
2021,West Virginia,14.0,11.0,23,3,
2021,Wichita St.,9.0,7.0,72,11,
2021,Winthrop,0.0,3.0,55,12,
2021,Wisconsin,24.0,15.0,26,9,
2022,Akron,0.0,6.0,127,13,
2022,Alabama,12.0,7.0,30,6,
2022,Arizona,21.0,13.0,2,1,
2022,Arkansas,13.0,8.0,20,4,
2022,Auburn,11.0,6.0,11,2,
2022,Baylor,21.0,12.0,4,1,
2022,Boise St.,0.0,3.0,29,8,
2022,Bryant,0.0,1.0,200,16,
2022,Cal St. Fullerton,0.0,3.0,153,15,
2022,Chattanooga,0.0,3.0,63,13,
2022,Colgate,0.0,5.0,128,14,
2022,Colorado St.,2.0,5.0,28,6,
2022,Connecticut,30.0,7.0,17,5,
2022,Creighton,12.0,10.0,55,9,
2022,Davidson,3.0,6.0,41,10,
2022,Delaware,0.0,2.0,137,15,
2022,Duke,41.0,14.0,12,2,
2022,Georgia St.,1.0,4.0,159,16,
2022,Gonzaga,35.0,17.0,1,1,
2022,Houston,19.0,8.0,3,5,
2022,Illinois,8.0,8.0,15,4,
2022,Indiana,7.0,7.0,38,12,
2022,Iowa,4.0,6.0,14,5,
2022,Iowa St.,12.0,11.0,49,11,
2022,Jacksonville St.,0.0,2.0,143,15,
2022,Kansas,41.0,15.0,6,1,
2022,Kentucky,34.0,13.0,5,2,
2022,LSU,4.0,5.0,18,6,
2022,Longwood,0.0,2.0,125,14,
2022,Loyola Chicago,6.0,3.0,23,10,
2022,Marquette,12.0,12.0,42,9,
2022,Memphis,10.0,9.0,33,9,
2022,Miami FL,12.0,7.0,62,10,
2022,Michigan,26.0,12.0,34,11,
2022,Michigan St.,35.0,16.0,36,7,
2022,Montana St.,0.0,2.0,120,14,
2022,Murray St.,4.0,5.0,21,7,
2022,New Mexico St.,1.0,9.0,79,12,
2022,Norfolk St.,1.0,4.0,156,16,
2022,North Carolina,41.0,13.0,31,8,
2022,Notre Dame,10.0,9.0,53,11,
2022,Ohio St.,15.0,11.0,26,7,
2022,Providence,3.0,6.0,32,4,
2022,Purdue,23.0,15.0,13,3,
2022,Richmond,3.0,3.0,81,12,
2022,Rutgers,1.0,1.0,77,11,
2022,Saint Mary's,6.0,10.0,19,5,
2022,Saint Peter's,3.0,3.0,124,15,
2022,San Diego St.,13.0,11.0,25,8,
2022,San Francisco,0.0,1.0,22,10,
2022,Seton Hall,1.0,5.0,37,8,
2022,South Dakota St.,0.0,7.0,65,13,
2022,TCU,2.0,4.0,44,9,
2022,Tennessee,19.0,12.0,7,3,
2022,Texas,11.0,13.0,16,6,
2022,Texas A&M Corpus Chris,0.0,1.0,241,16,
2022,Texas Southern,0.0,5.0,197,16,
2022,Texas Tech,14.0,7.0,9,3,
2022,UAB,1.0,3.0,46,12,
2022,UCLA,21.0,11.0,10,4,
2022,USC,5.0,7.0,35,7,
2022,Vermont,0.0,7.0,52,13,
2022,Villanova,29.0,11.0,8,2,
2022,Virginia Tech,2.0,5.0,27,11,
2022,Wisconsin,24.0,15.0,24,3,
2022,Wright St.,0.0,2.0,191,16,
2022,Wyoming,0.0,1.0,50,12,
2022,Yale,2.0,5.0,142,14,
2023,Alabama,12.0,7.0,2,1,
2023,Arizona,21.0,13.0,10,2,
2023,Arizona St.,1.0,4.0,66,11,
2023,Arkansas,13.0,8.0,21,8,
2023,Auburn,11.0,6.0,32,9,
2023,Baylor,21.0,12.0,15,3,
2023,Boise St.,0.0,3.0,27,10,
2023,Colgate,0.0,5.0,101,15,
2023,College of Charleston,0.0,3.0,51,12,
2023,Connecticut,30.0,7.0,8,4,
2023,Creighton,12.0,10.0,17,6,
2023,Drake,1.0,5.0,54,12,
2023,Duke,41.0,14.0,16,5,
2023,Fairleigh Dickinson,1.0,2.0,301,16,
2023,Florida Atlantic,4.0,2.0,13,9,
2023,Furman,1.0,1.0,88,13,
2023,Gonzaga,35.0,17.0,6,3,
2023,Grand Canyon,1.0,4.0,104,14,
2023,Houston,19.0,8.0,1,1,
2023,Howard,0.0,1.0,214,16,
2023,Illinois,8.0,8.0,34,9,
2023,Indiana,7.0,7.0,30,4,
2023,Iona,0.0,7.0,59,13,
2023,Iowa,4.0,6.0,39,8,
2023,Iowa St.,12.0,11.0,20,6,
2023,Kansas,41.0,15.0,9,1,
2023,Kansas St.,12.0,10.0,23,3,
2023,Kennesaw St.,0.0,1.0,114,14,
2023,Kent St.,0.0,3.0,57,13,
2023,Kentucky,34.0,13.0,25,6,
2023,Louisiana Lafayette,0.0,2.0,89,13,
2023,Marquette,12.0,12.0,12,2,
2023,Maryland,10.0,9.0,31,8,
2023,Memphis,10.0,9.0,29,8,
2023,Miami FL,12.0,7.0,35,5,
2023,Michigan St.,35.0,16.0,33,7,
2023,Mississippi St.,1.0,5.0,48,11,
2023,Missouri,5.0,9.0,42,7,
2023,Montana St.,0.0,2.0,103,14,
2023,Nevada,2.0,4.0,37,11,
2023,North Carolina St.,8.0,7.0,45,11,
2023,Northern Kentucky,0.0,3.0,154,16,
2023,Northwestern,3.0,3.0,41,7,
2023,Oral Roberts,2.0,3.0,36,12,
2023,Penn St.,1.0,2.0,49,10,
2023,Pittsburgh,8.0,8.0,67,11,
2023,Princeton,2.0,3.0,116,15,
2023,Providence,3.0,6.0,55,11,
2023,Purdue,23.0,15.0,5,1,
2023,Saint Mary's,6.0,10.0,11,5,
2023,San Diego St.,13.0,11.0,14,5,
2023,Southeast Missouri St.,,,242,16,
2023,TCU,2.0,4.0,28,6,
2023,Tennessee,19.0,12.0,4,4,
2023,Texas,11.0,13.0,7,2,
2023,Texas A&M,9.0,9.0,18,7,
2023,Texas A&M Corpus Chris,0.0,1.0,174,16,
2023,Texas Southern,0.0,5.0,292,16,
2023,UC Santa Barbara,0.0,4.0,100,14,
2023,UCLA,21.0,11.0,3,2,
2023,UNC Asheville,0.0,4.0,140,15,
2023,USC,5.0,7.0,50,10,
2023,Utah St.,1.0,8.0,19,10,
2023,VCU,7.0,12.0,58,12,
2023,Vermont,0.0,7.0,109,15,
2023,Virginia,13.0,8.0,26,4,
2023,West Virginia,14.0,11.0,24,9,
2023,Xavier,18.0,11.0,22,3,
2024,Akron,0.0,6.0,106,14,
2024,Alabama,12.0,7.0,10,4,
2024,Arizona,21.0,13.0,4,2,
2024,Auburn,11.0,6.0,5,4,
2024,BYU,5.0,9.0,12,6,
2024,Baylor,21.0,12.0,13,3,
2024,Boise St.,0.0,3.0,27,10,
2024,Clemson,5.0,8.0,35,6,
2024,Colgate,0.0,5.0,125,14,
2024,College of Charleston,0.0,3.0,96,13,
2024,Colorado,3.0,6.0,25,10,
2024,Colorado St.,2.0,5.0,36,10,
2024,Connecticut,30.0,7.0,2,1,
2024,Creighton,12.0,10.0,11,3,
2024,Dayton,6.0,6.0,23,7,
2024,Drake,1.0,5.0,47,10,
2024,Duke,41.0,14.0,9,4,
2024,Duquesne,1.0,1.0,81,11,
2024,Florida,25.0,10.0,28,7,
2024,Florida Atlantic,4.0,2.0,38,8,
2024,Gonzaga,35.0,17.0,17,5,
2024,Grambling St.,0.0,1.0,279,16,
2024,Grand Canyon,1.0,4.0,50,12,
2024,Houston,19.0,8.0,1,1,
2024,Howard,0.0,1.0,273,16,
2024,Illinois,8.0,8.0,15,3,
2024,Iowa St.,12.0,11.0,6,2,
2024,James Madison,1.0,2.0,53,12,
2024,Kansas,41.0,15.0,21,4,
2024,Kentucky,34.0,13.0,19,3,
2024,Long Beach St.,0.0,2.0,170,15,
2024,Longwood,0.0,2.0,163,16,
2024,Marquette,12.0,12.0,14,2,
2024,McNeese St.,1.0,2.0,56,12,
2024,Michigan St.,35.0,16.0,24,9,
2024,Mississippi St.,1.0,5.0,31,8,
2024,Montana St.,0.0,2.0,208,16,
2024,Morehead St.,1.0,4.0,108,14,
2024,Nebraska,0.0,2.0,34,8,
2024,Nevada,2.0,4.0,33,10,
2024,New Mexico,3.0,6.0,22,11,
2024,North Carolina,41.0,13.0,8,1,
2024,North Carolina St.,8.0,7.0,63,11,
2024,Northwestern,3.0,3.0,52,9,
2024,Oakland,1.0,3.0,126,14,
2024,Oregon,17.0,10.0,59,11,
2024,Purdue,23.0,15.0,3,1,
2024,Saint Mary's,6.0,10.0,16,5,
2024,Saint Peter's,3.0,3.0,187,15,
2024,Samford,0.0,1.0,74,13,
2024,San Diego St.,13.0,11.0,20,5,
2024,South Carolina,4.0,2.0,51,6,
2024,South Dakota St.,0.0,7.0,135,15,
2024,Stetson,0.0,1.0,209,16,
2024,TCU,2.0,4.0,42,9,
2024,Tennessee,19.0,12.0,7,2,
2024,Texas,11.0,13.0,30,7,
2024,Texas A&M,9.0,9.0,44,9,
2024,Texas Tech,14.0,7.0,26,6,
2024,UAB,1.0,3.0,105,12,
2024,Utah St.,1.0,8.0,39,8,
2024,Vermont,0.0,7.0,102,13,
2024,Virginia,13.0,8.0,54,10,
2024,Wagner,0.0,1.0,290,16,
2024,Washington St.,3.0,2.0,45,7,
2024,Western Kentucky,3.0,5.0,136,15,
2024,Wisconsin,24.0,15.0,18,5,
2024,Yale,2.0,5.0,83,13,
2025,Akron,0.0,6.0,91,13,
2025,Alabama,12.0,7.0,6,2,
2025,Alabama St.,0.0,1.0,274,16,
2025,American,0.0,3.0,225,16,
2025,Arizona,21.0,13.0,12,4,
2025,Arkansas,13.0,8.0,42,10,
2025,Auburn,11.0,6.0,2,1,
2025,BYU,5.0,9.0,25,6,
2025,Baylor,21.0,12.0,31,9,
2025,Bryant,0.0,1.0,139,15,
2025,Clemson,5.0,8.0,22,5,
2025,Colorado St.,2.0,5.0,46,12,
2025,Connecticut,30.0,7.0,32,8,
2025,Creighton,12.0,10.0,39,9,
2025,Drake,1.0,5.0,58,11,
2025,Duke,41.0,14.0,1,1,
2025,Florida,25.0,10.0,3,1,
2025,Georgia,0.0,4.0,33,9,
2025,Gonzaga,35.0,17.0,8,8,
2025,Grand Canyon,1.0,4.0,92,13,
2025,High Point,0.0,1.0,82,13,
2025,Houston,19.0,8.0,4,1,
2025,Illinois,8.0,8.0,17,6,
2025,Iowa St.,12.0,11.0,9,3,
2025,Kansas,41.0,15.0,20,7,
2025,Kentucky,34.0,13.0,15,3,
2025,Liberty,1.0,3.0,60,12,
2025,Lipscomb,0.0,2.0,84,14,
2025,Louisville,22.0,10.0,23,8,
2025,Marquette,12.0,12.0,27,7,
2025,Maryland,10.0,9.0,10,4,
2025,McNeese St.,1.0,2.0,59,12,
2025,Memphis,10.0,9.0,51,5,
2025,Michigan,26.0,12.0,24,5,
2025,Michigan St.,35.0,16.0,11,2,
2025,Mississippi,3.0,4.0,28,6,
2025,Mississippi St.,1.0,5.0,34,8,
2025,Missouri,5.0,9.0,16,6,
2025,Montana,0.0,6.0,145,14,
2025,Mount St. Mary's,0.0,3.0,234,16,
2025,Nebraska Omaha,0.0,1.0,160,15,
2025,New Mexico,3.0,6.0,41,10,
2025,Norfolk St.,1.0,4.0,183,16,
2025,North Carolina,41.0,13.0,36,11,
2025,Oklahoma,12.0,10.0,43,9,
2025,Oregon,17.0,10.0,29,5,
2025,Purdue,23.0,15.0,19,4,
2025,Robert Morris,0.0,4.0,140,15,
2025,SIU Edwardsville,0.0,1.0,213,16,
2025,Saint Francis,,,297,16,
2025,Saint Mary's,6.0,10.0,21,7,
2025,San Diego St.,13.0,11.0,52,11,
2025,St. John's,1.0,3.0,13,2,
2025,Tennessee,19.0,12.0,5,2,
2025,Texas,11.0,13.0,38,11,
2025,Texas A&M,9.0,9.0,18,4,
2025,Texas Tech,14.0,7.0,7,3,
2025,Troy,0.0,2.0,99,14,
2025,UC San Diego,0.0,1.0,35,12,
2025,UCLA,21.0,11.0,26,7,
2025,UNC Wilmington,0.0,3.0,102,14,
2025,Utah St.,1.0,8.0,37,10,
2025,VCU,7.0,12.0,30,11,
2025,Vanderbilt,1.0,6.0,48,10,
2025,Wisconsin,24.0,15.0,14,3,
2025,Wofford,1.0,6.0,131,15,
2025,Xavier,18.0,11.0,44,11,
2025,Yale,2.0,5.0,72,13,
2026,Akron,0.0,6.0,53,12,
2026,Alabama,12.0,7.0,18,4,
2026,Arizona,21.0,13.0,3,1,
2026,Arkansas,13.0,8.0,16,4,
2026,BYU,5.0,9.0,22,6,
2026,Cal Baptist,,,98,13,
2026,Clemson,5.0,8.0,34,8,
2026,Connecticut,30.0,7.0,12,2,
2026,Duke,41.0,14.0,1,1,
2026,Florida,25.0,10.0,4,1,
2026,Furman,1.0,1.0,186,15,
2026,Georgia,0.0,4.0,33,8,
2026,Gonzaga,35.0,17.0,8,3,
2026,Hawaii,1.0,1.0,101,13,
2026,High Point,0.0,1.0,75,12,
2026,Hofstra,,,87,13,
2026,Houston,19.0,8.0,5,2,
2026,Howard,0.0,1.0,203,16,
2026,Idaho,,,144,15,
2026,Illinois,8.0,8.0,9,3,
2026,Iowa,4.0,6.0,27,9,
2026,Iowa St.,12.0,11.0,6,2,
2026,Kansas,41.0,15.0,21,4,
2026,Kennesaw St.,0.0,1.0,154,14,
2026,Kentucky,34.0,13.0,28,7,
2026,LIU Brooklyn,0.0,2.0,198,16,
2026,Lehigh,1.0,2.0,276,16,
2026,Louisville,22.0,10.0,17,6,
2026,McNeese St.,1.0,2.0,56,12,
2026,Miami FL,12.0,7.0,32,7,
2026,Miami OH,,,64,11,
2026,Michigan,26.0,12.0,2,1,
2026,Michigan St.,35.0,16.0,11,3,
2026,Missouri,5.0,9.0,59,10,
2026,Nebraska,0.0,2.0,14,4,
2026,North Carolina,41.0,13.0,23,6,
2026,North Carolina St.,8.0,7.0,36,11,
2026,North Dakota St.,1.0,4.0,114,14,
2026,Northern Iowa,4.0,4.0,72,12,
2026,Ohio St.,15.0,11.0,29,8,
2026,Penn,0.0,1.0,143,14,
2026,Prairie View A&M,,,300,16,
2026,Purdue,23.0,15.0,7,2,
2026,Queens,,,187,15,
2026,SMU,0.0,2.0,37,11,
2026,Saint Louis,3.0,4.0,30,9,
2026,Saint Mary's,6.0,10.0,24,7,
2026,Santa Clara,,,40,10,
2026,Siena,2.0,3.0,184,16,
2026,South Florida,1.0,1.0,46,11,
2026,St. John's,1.0,3.0,15,5,
2026,TCU,2.0,4.0,39,9,
2026,Tennessee,19.0,12.0,20,6,
2026,Tennessee St.,,,172,15,
2026,Texas,11.0,13.0,42,11,
2026,Texas A&M,9.0,9.0,44,10,
2026,Texas Tech,14.0,7.0,19,5,
2026,Troy,0.0,2.0,125,13,
2026,UCF,1.0,1.0,51,10,
2026,UCLA,21.0,11.0,31,7,
2026,UMBC,1.0,2.0,196,16,
2026,Utah St.,1.0,8.0,26,9,
2026,VCU,7.0,12.0,43,11,
2026,Vanderbilt,1.0,6.0,13,5,
2026,Villanova,29.0,11.0,35,8,
2026,Virginia,13.0,8.0,10,3,
2026,Wisconsin,24.0,15.0,25,5,
2026,Wright St.,0.0,2.0,126,14,
